premise,hypothesis,label,alternation,subtype of alternation,lemma,verb class,comment,prediction,,Model,Accuracy
The cat rolled the ball.,The ball rolled.,entailment,causative,causative/inchoative,roll,ROLL,,entailment,,gpt-4-0125-preview,0.814
The cat rolled the ball.,The cat rolled.,non-entailment,causative,causative/inchoative,roll,ROLL,,entailment,,,
The child bounced the ball to me.,The ball bounced  to me.,entailment,causative,causative/inchoative,bounce,ROLL,,entailment,,,
The child bounced the ball to me.,The child bounced to me.,non-entailment,causative,causative/inchoative,bounce,ROLL,meaning change,non-entailment,,,
The team drifted the boats downstream.,The boats drifted downstream.,entailment,causative,causative/inchoative,drift,ROLL,,entailment,,,
The team drifted the boats downstream.,The team drifted downstream.,non-entailment,causative,causative/inchoative,drift,ROLL,,entailment,,,
Harry dropped the book into the river.,The book dropped into the river.,entailment,causative,causative/inchoative,drop,ROLL,,entailment,,,
Harry dropped the book into the river.,Harry dropped into the river.,non-entailment,causative,causative/inchoative,drop,ROLL,,non-entailment,,,
Mark floated the logs two miles to the mill.,The logs floated two miles to the mill.,entailment,causative,causative/inchoative,float,ROLL,,entailment,,,
Mark floated the logs two miles to the mill.,Mark floated two miles to the mill.,non-entailment,causative,causative/inchoative,float,ROLL,,non-entailment,,,
Daniel glided the ball across the slippery parquet.,The ball glided across the slippery parquet.,entailment,causative,causative/inchoative,glide,ROLL,,entailment,,,
Daniel glided the ball across the slippery parquet.,Daniel glided across the slippery parquet.,non-entailment,causative,causative/inchoative,glide,ROLL,,entailment,,,
Emily moved the ball in the right direction.,The ball moved in the right direction.,entailment,causative,causative/inchoative,move,ROLL,,entailment,,,
Emily moved the ball in the right direction.,Emily moved in the right direction.,non-entailment,causative,causative/inchoative,move,ROLL,,entailment,,,
The bartender slid two beers down to the edge of the counter.,Two beers slid down to the edge of the counter.,entailment,causative,causative/inchoative,slide,ROLL,,entailment,,,
The bartender slid two beers down to the edge of the counter.,The bartender slid down to the edge of the counter.,non-entailment,causative,causative/inchoative,slide,ROLL,,non-entailment,,,
Jeremy swung the basket in her direction.,The basket swung in her direction.,entailment,causative,causative/inchoative,swing,ROLL,,entailment,,,
Jeremy swung the basket in her direction.,Jeremy swung in her direction.,non-entailment,causative,causative/inchoative,swing,ROLL,,entailment,,,
Thomas rotated the image 180 degrees clockwise.,The image rotated 180 degrees clockwise.,entailment,causative,causative/inchoative,rotate,ROLL,,entailment,,,
Thomas rotated the image 180 degrees clockwise.,Thomas rotated 180 degrees clockwise.,non-entailment,causative,causative/inchoative,rotate,ROLL,,entailment,,,
The boy spun the remote-controlled car around the room.,The remote-controlled car spun around the room.,entailment,causative,causative/inchoative,spin,ROLL,,entailment,,,
The boy spun the remote-controlled car around the room.,The boy spun around the room.,non-entailment,causative,causative/inchoative,spin,ROLL,,non-entailment,,,
The student turned the document around.,The document turned around.,entailment,causative,causative/inchoative,turn,ROLL,,entailment,,,
The student turned the document around.,The student turned around.,non-entailment,causative,causative/inchoative,turn,ROLL,,non-entailment,,,
Susan twirled the globe in the living room.,The globe twirled in the living room.,entailment,causative,causative/inchoative,twirl,ROLL,,entailment,,,
Susan twirled the globe in the living room.,Susan twirled in the living room.,non-entailment,causative,causative/inchoative,twirl,ROLL,,entailment,,,
David twisted the knob.,The knob twisted.,entailment,causative,causative/inchoative,twist,ROLL,,entailment,,,
David twisted the knob.,David twisted.,non-entailment,causative,causative/inchoative,twist,ROLL,meaning change,entailment,,,
The statuette broke the showcase.,The showcase broke.,entailment,causative,causative/inchoative,break,BREAK,,entailment,,,
The statuette broke the showcase.,The statuette broke.,non-entailment,causative,causative/inchoative,break,BREAK,,entailment,,,
This cup chipped John's front tooth.,John's front tooth chipped.,entailment,causative,causative/inchoative,chip,BREAK,,entailment,,,
